"","ID","Area","x","y","Perim.","Major","Minor","angle","Circ.","Feret","Slice","feret_x","feret_y","feret_angle","MinFeret","AR","round","solidity","germination","convex","feret_diff","debris"
"77",572,137,169.062,269.989,44.385,14.85,11.746,13.196,0.874,15.811,23,163,275,34.695,12,1.264,0.791,0.913,"0",150.054764512596,3.811,"0"
"78",576,166,984.711,348.56,50.527,19.228,10.992,30.902,0.817,20,23,977,355,36.87,11.8,1.749,0.572,0.902,"0",184.035476718404,8.2,"0"
"79",588,147,844.718,687.772,48.284,18.903,9.901,124.32,0.792,20,23,839,680,126.87,11,1.909,0.524,0.907,"0",162.072767364939,9,"0"
"80",593,184,597.636,835.592,51.698,20.139,11.633,110.335,0.865,20.616,23,594,826,112.834,12.551,1.731,0.578,0.932,"0",197.424892703863,8.065,"0"
"81",600,166,35.633,950.946,52.527,17.965,11.765,134.943,0.756,20.616,23,26,945,140.906,12.728,1.527,0.655,0.881,"0",188.422247446084,7.888,"0"
"82",601,259,453.017,16.573,71.255,23.111,14.269,141.04,0.641,25.08,24,443,9,156.501,16.856,1.62,0.617,0.818,"0",316.625916870416,8.224,"0"
"83",604,265,709.221,135.043,77.497,28.417,11.873,108.088,0.554,29.411,24,706,120,107.819,14.755,2.393,0.418,0.774,"0",342.377260981912,14.656,"0"
"84",606,212,61.623,179.533,59.456,21.947,12.299,97.157,0.754,22.361,24,58,169,116.565,12.766,1.784,0.56,0.9,"0",235.555555555556,9.595,"0"
"85",609,191,553.06,240.893,53.941,20.389,11.928,58.673,0.825,20.809,24,546,249,54.782,12.758,1.709,0.585,0.91,"0",209.89010989011,8.051,"0"
"86",610,194,373.582,441.263,54.87,20.715,11.924,20.566,0.81,21.095,24,365,447,31.43,12.944,1.737,0.576,0.898,"0",216.035634743875,8.151,"0"
"87",611,199,634.008,557.48,53.355,20.263,12.504,112.195,0.878,20.881,24,632,547,106.699,13.741,1.62,0.617,0.917,"0",217.01199563795,7.14,"0"
"88",615,178,44.545,745.23,53.456,19.661,11.527,91.667,0.783,19.925,24,40,736,107.526,11,1.706,0.586,0.92,"0",193.478260869565,8.925,"0"
"89",618,190,775.411,839.842,52.284,18.309,13.213,156.505,0.873,18.868,24,767,835,147.995,14,1.386,0.722,0.927,"0",204.962243797195,4.868,"0"
"90",619,202,32.064,913.02,59.841,23.242,11.066,125.473,0.709,24.207,24,24,904,128.29,11.649,2.1,0.476,0.888,"0",227.477477477477,12.558,"0"
"91",621,209,325.404,967.237,62.184,22.126,12.027,93.434,0.679,23.345,24,324,955,99.866,13.899,1.84,0.544,0.831,"0",251.50421179302,9.446,"0"
"92",622,397,392.241,50.797,112.468,36.134,13.989,79.403,0.394,37.336,25,387,69,82.304,18.486,2.583,0.387,0.711,"0",558.368495077356,18.85,"0"
"93",623,209,231.347,51.854,57.355,19.948,13.34,114.896,0.798,21.19,25,228,42,109.29,14.709,1.495,0.669,0.891,"0",234.567901234568,6.481,"0"
"94",624,209,633.529,78.639,53.698,19.705,13.504,175.256,0.911,20.224,25,624,76,171.469,13,1.459,0.685,0.946,"0",220.93023255814,7.224,"0"
"95",631,205,141.968,239.339,55.698,21.086,12.378,113.657,0.83,21.633,25,135,231,123.69,13.416,1.703,0.587,0.917,"0",223.555070883315,8.217,"0"
"96",634,143,822.997,291.262,45.456,16.332,11.148,105.879,0.87,17,25,818,284,118.072,11.571,1.465,0.683,0.908,"0",157.488986784141,5.429,"0"
"97",640,178,817.163,360.781,50.527,17.741,12.775,104.888,0.876,18.439,25,814,352,102.529,13.481,1.389,0.72,0.91,"0",195.604395604396,4.958,"0"
"98",645,175,437.426,472.334,51.941,18.241,12.215,110.549,0.815,18.974,25,435,463,108.435,12.969,1.493,0.67,0.9,"0",194.444444444444,6.005,"0"
"99",651,167,912.219,569.434,48.284,18.092,11.753,110.702,0.9,18.788,25,908,561,115.201,12.659,1.539,0.65,0.92,"0",181.521739130435,6.129,"0"
"100",653,209,988.94,624.524,66.77,24.491,10.865,105.224,0.589,24.515,25,987,612,101.768,12.33,2.254,0.444,0.846,"0",247.044917257683,12.185,"0"
"101",654,138,281.891,636.507,44.627,15.426,11.39,124.808,0.871,17.029,25,278,629,130.236,12.494,1.354,0.738,0.908,"0",151.982378854626,4.535,"0"
"102",660,192,548.641,727.656,54.284,20.079,12.175,111.781,0.819,20.518,25,542,720,133.025,13.097,1.649,0.606,0.908,"0",211.453744493392,7.421,"0"
"103",663,174,515.167,757.276,49.698,18.31,12.099,110.981,0.885,19.313,25,512,748,111.251,13,1.513,0.661,0.918,"0",189.542483660131,6.313,"0"
"104",668,196,460.73,868.138,55.113,19.101,13.065,117.235,0.811,20.616,25,454,860,129.094,14.067,1.462,0.684,0.899,"0",218.020022246941,6.549,"0"
"105",676,170,414.688,239.912,48.627,17.476,12.386,13.266,0.903,18.358,26,407,245,29.358,12,1.411,0.709,0.942,"0",180.467091295117,6.358,"0"
"106",681,199,831.445,332.399,53.598,20.3,12.482,129.359,0.87,20.248,26,826,324,122.905,12.728,1.626,0.615,0.923,"0",215.601300108342,7.52,"0"
"107",682,158,318.468,341.367,48.87,18.195,11.056,80.168,0.831,18.439,26,316,332,102.529,12,1.646,0.608,0.895,"0",176.536312849162,6.439,"0"
"108",683,161,764.68,462.158,49.113,17.789,11.524,136.437,0.839,19.105,26,758,455,132.879,12.691,1.544,0.648,0.915,"0",175.956284153005,6.414,"0"
"109",690,174,47.494,599.684,55.113,19.109,11.593,147.276,0.72,20.616,26,39,594,140.906,12.969,1.648,0.607,0.864,"0",201.388888888889,7.647,"0"
"110",691,170,588.847,617.771,51.113,18.503,11.698,159.371,0.818,18.974,26,580,614,161.565,12.522,1.582,0.632,0.902,"0",188.470066518847,6.452,"0"
"111",693,149,413.258,801.889,44.87,16.341,11.61,164.312,0.93,17.464,26,405,798,156.371,12,1.408,0.71,0.928,"0",160.560344827586,5.464,"0"
"112",694,153,542.18,840.356,50.284,17.836,10.922,143.459,0.76,19.849,26,536,832,130.914,11.869,1.633,0.612,0.877,"0",174.458380843786,7.98,"0"
"113",695,145,559.569,877.824,48.87,16.625,11.105,76.285,0.763,17.464,26,558,869,103.241,12,1.497,0.668,0.879,"0",164.960182025028,5.464,"0"
"114",696,146,759.137,895.082,45.698,16.368,11.357,21.585,0.879,17.464,26,751,898,23.629,12.07,1.441,0.694,0.904,"0",161.504424778761,5.394,"0"
"115",701,196,769.571,66.092,54.284,20.486,12.182,160.542,0.836,21.024,27,760,61,154.654,12.965,1.682,0.595,0.916,"0",213.973799126638,8.059,"0"
"116",704,180,68.456,138.75,55.012,19.728,11.617,146.257,0.747,21.954,27,60,133,149.931,12.728,1.698,0.589,0.891,"0",202.020202020202,9.226,"0"
"117",707,160,67.375,187.156,48.87,17.407,11.703,162.406,0.842,18.788,27,59,183,154.799,12,1.487,0.672,0.92,"0",173.913043478261,6.788,"0"
"118",709,192,666.219,319.531,52.77,18.951,12.9,135.916,0.866,19.849,27,659,313,139.086,13.435,1.469,0.681,0.904,"0",212.389380530973,6.414,"0"
"119",717,173,13.517,487.725,54.77,18.612,11.835,135.109,0.725,20.616,27,7,479,129.094,12.6,1.573,0.636,0.887,"0",195.039458850056,8.016,"0"
"120",721,150,71.747,572.473,46.042,16.949,11.268,164.196,0.889,17.493,27,65,567,149.036,11.837,1.504,0.665,0.926,"0",161.987041036717,5.656,"0"
"121",723,339,395.417,626.335,95.983,26.932,16.027,28.506,0.462,27.857,27,382,631,21.038,19.314,1.68,0.595,0.781,"0",434.058898847631,8.543,"0"
"122",726,152,135.599,683.592,45.698,15.608,12.399,41.071,0.915,16.401,27,130,690,52.431,13.119,1.259,0.794,0.913,"0",166.484118291347,3.282,"0"
"123",727,190,985.7,688.695,52.77,20.504,11.799,127.726,0.857,20.809,27,980,680,125.218,12.728,1.738,0.575,0.913,"0",208.105147864184,8.081,"0"
"124",729,164,802.384,713.354,49.698,17.858,11.693,135.035,0.834,19.105,27,795,707,132.879,13.119,1.527,0.655,0.894,"0",183.4451901566,5.986,"0"
"125",732,150,528.02,841.493,45.698,16.827,11.35,133.565,0.903,17.692,27,522,835,132.709,12.021,1.483,0.675,0.904,"0",165.929203539823,5.671,"0"
"126",748,191,879.029,254.034,56.87,20.432,11.902,82.073,0.742,20.881,28,877,264,73.301,12,1.717,0.583,0.907,"0",210.58434399118,8.881,"0"
"127",751,181,253.544,345.052,53.113,19.746,11.671,149.955,0.806,21.095,28,245,339,148.57,12.903,1.692,0.591,0.894,"0",202.460850111857,8.192,"0"
"128",752,171,688.167,368.693,51.113,19.16,11.364,42.646,0.823,20,28,683,377,53.13,12.728,1.686,0.593,0.898,"0",190.423162583519,7.272,"0"
"129",759,207,378.312,607.824,55.456,20.286,12.992,98.686,0.846,21.024,28,376,597,115.346,13,1.561,0.64,0.928,"0",223.060344827586,8.024,"0"
"130",763,160,447.363,676.731,47.698,18.454,11.039,135.085,0.884,19.209,28,442,669,128.66,12.021,1.672,0.598,0.909,"0",176.017601760176,7.188,"0"
"131",765,177,904.681,731.743,51.355,19.262,11.7,133.384,0.843,19.849,28,897,725,139.086,12.676,1.646,0.607,0.892,"0",198.430493273543,7.173,"0"
"132",766,161,581.183,761.078,49.698,18.162,11.287,142.903,0.819,19.416,28,573,756,145.491,12.075,1.609,0.621,0.904,"0",178.097345132743,7.341,"0"
"133",774,147,298.289,22.33,45.941,17.353,10.786,134.962,0.875,17.804,29,293,15,128.157,11.314,1.609,0.622,0.894,"0",164.429530201342,6.49,"0"
"134",775,163,127.199,44.574,50.87,19.074,10.881,76.114,0.792,19.313,29,123,54,68.749,11.642,1.753,0.57,0.901,"0",180.910099889012,7.671,"0"
"135",784,178,666.64,406.011,53.456,20.183,11.229,12.473,0.783,20.616,29,657,409,22.834,11.642,1.797,0.556,0.904,"0",196.902654867257,8.974,"0"
"136",796,194,628.655,755.222,52.87,19.412,12.724,77.181,0.872,20.248,29,626,765,69.775,13,1.526,0.655,0.933,"0",207.931404072883,7.248,"0"
"137",804,139,896.133,966.579,44.87,14.569,12.148,131.421,0.868,16.279,29,892,959,132.51,13,1.199,0.834,0.897,"0",154.960981047938,3.279,"0"
"138",807,190,440.579,39.674,56.527,19.597,12.345,85.385,0.747,20.396,30,440,50,78.69,14,1.587,0.63,0.864,"0",219.907407407407,6.396,"0"
"139",811,199,678.721,206.626,55.355,20.728,12.224,123.949,0.816,21.471,30,673,197,117.759,13.416,1.696,0.59,0.892,"0",223.094170403587,8.055,"0"
"140",812,154,73.097,241.584,48.042,16.17,12.126,60.186,0.838,17.692,30,67,248,42.709,13,1.334,0.75,0.89,"0",173.033707865169,4.692,"0"
"141",823,199,222.41,610.003,54.77,18.447,13.735,38.493,0.834,19.235,30,213,613,27.897,15.205,1.343,0.745,0.879,"0",226.393629124005,4.03,"0"
"142",824,213,979.322,615.073,59.941,21.43,12.655,70.215,0.745,22.825,30,974,625,61.189,13.741,1.693,0.591,0.916,"0",232.532751091703,9.084,"0"
"143",830,163,921.163,715.034,48.527,17.702,11.724,126.733,0.87,18.601,30,916,707,126.254,12.481,1.51,0.662,0.908,"0",179.515418502203,6.12,"0"
"144",831,103,474.18,787.578,38.627,12.476,10.512,176.605,0.867,13.892,30,468,785,149.744,11,1.187,0.843,0.9,"0",114.444444444444,2.892,"0"
"145",838,160,903.556,967.206,47.456,17.716,11.499,136.671,0.893,19.105,30,897,960,132.879,12.728,1.541,0.649,0.936,"0",170.940170940171,6.377,"0"
"146",847,168,114.714,208.22,49.698,17.454,12.255,121.148,0.855,18.601,31,109,201,126.254,13.205,1.424,0.702,0.911,"0",184.412733260154,5.396,"0"
"147",848,180,445.3,230.683,53.456,20.21,11.34,12.375,0.792,21.19,31,435,235,19.29,11.963,1.782,0.561,0.916,"0",196.506550218341,9.227,"0"
"148",850,184,429.717,258.489,54.284,20.167,11.617,152.835,0.785,22.204,31,420,252,144.162,12.969,1.736,0.576,0.934,"0",197.002141327623,9.235,"0"
"149",853,205,128.237,419.441,53.456,18.602,14.032,93.179,0.902,19.698,31,124,410,113.962,14,1.326,0.754,0.934,"0",219.48608137045,5.698,"0"
"150",857,138,726.717,493.674,44.971,15.904,11.048,89.889,0.857,16.553,31,723,501,64.983,11,1.44,0.695,0.929,"0",148.546824542519,5.553,"0"
"151",860,196,592.76,523.571,55.941,20.857,11.965,141.368,0.787,23.022,31,584,516,145.62,13.435,1.743,0.574,0.895,"0",218.994413407821,9.587,"0"
"152",866,195,743.695,618.423,54.527,19.917,12.466,49.198,0.824,20.616,31,735,624,39.094,13.868,1.598,0.626,0.894,"0",218.120805369128,6.748,"0"
"153",878,164,747.22,244.518,47.113,16.999,12.284,133.845,0.928,17.804,32,740,239,141.843,12.728,1.384,0.723,0.921,"0",178.067318132465,5.076,"0"
"154",881,158,510.253,267.513,47.698,15.414,13.051,27.001,0.873,17.464,32,502,271,23.629,14,1.181,0.847,0.89,"0",177.52808988764,3.464,"0"
"155",882,182,185.956,312.06,53.698,20.708,11.19,150.71,0.793,21.954,32,177,306,149.931,12.211,1.851,0.54,0.908,"0",200.440528634361,9.743,"0"
"156",889,184,355.022,422.451,52.527,19.243,12.175,137.498,0.838,20.616,32,347,416,140.906,13.06,1.581,0.633,0.909,"0",202.420242024202,7.556,"0"
"157",893,178,594.006,505.573,52.042,16.926,13.39,70.541,0.826,19.209,32,588,513,51.34,13.52,1.264,0.791,0.908,"0",196.035242290749,5.689,"0"
"158",909,183,760.801,396.183,53.113,19.419,11.999,131.523,0.815,20.248,33,755,388,122.905,13.435,1.618,0.618,0.901,"0",203.107658157603,6.813,"0"
"159",910,171,921.447,395.558,52.042,19.593,11.112,14.712,0.793,20.125,33,913,401,26.565,11.813,1.763,0.567,0.914,"0",187.089715536105,8.312,"0"
"160",912,163,131.58,588.868,50.284,17.069,12.159,97.986,0.81,18.385,33,126,581,112.38,12,1.404,0.712,0.929,"0",175.45748116254,6.385,"0"
"161",920,177,452.822,197.76,50.627,18.529,12.163,111.472,0.868,19.723,34,449,189,120.466,12.969,1.523,0.656,0.949,"0",186.512118018967,6.754,"0"
"162",935,157,427.914,488.997,52.77,19.763,10.115,26.095,0.709,21.471,34,419,495,27.759,11.371,1.954,0.512,0.875,"0",179.428571428571,10.1,"0"
"163",937,185,851.062,543.041,57.113,19.124,12.317,92.471,0.713,21.024,34,847,534,115.346,12,1.553,0.644,0.907,"0",203.969128996692,9.024,"0"
"164",938,197,468.972,546.703,59.113,20.365,12.316,89.666,0.708,22.136,34,464,536,108.435,12,1.653,0.605,0.876,"0",224.885844748858,10.136,"0"
"165",940,157,70.627,594.277,47.113,16.622,12.026,175.984,0.889,17.464,34,62,596,13.241,12,1.382,0.723,0.926,"0",169.546436285097,5.464,"0"
"166",949,195,442.638,879.772,55.355,19.12,12.986,39.845,0.8,19.849,34,436,887,49.086,14.311,1.472,0.679,0.897,"0",217.391304347826,5.538,"0"
