"","ID","Area","x","y","Perim.","Major","Minor","angle","Circ.","Feret","Slice","feret_x","feret_y","feret_angle","MinFeret","AR","round","solidity","germination","convex","feret_diff","debris"
"614",3577,309,1682.26,1628.95,80.57,33.6,11.71,43.66,0.6,32.65,2,1670,1639,40.03,13.44,2.87,0.35,0.85,"na",363.529411764706,19.21,"1"
"615",3578,308,996.73,1685.59,83.98,34.77,11.28,44.97,0.55,34.66,2,985,1697,43.83,14.14,3.08,0.32,0.82,"na",375.609756097561,20.52,"1"
"616",3595,491,499.16,225.34,104.81,27.83,22.46,110.04,0.56,32.7,3,495,208,113.43,24.71,1.24,0.81,0.84,"na",584.52380952381,7.99,"1"
"617",3616,431,770.91,591.61,110.81,46.75,11.74,72.59,0.44,44.01,3,762,612,68.68,13.91,3.98,0.25,0.79,"na",545.569620253165,30.1,"1"
"618",3621,313,1964.56,604.27,86.53,37.95,10.5,169.89,0.53,36.06,3,1948,597,160.56,11.44,3.61,0.28,0.86,"na",363.953488372093,24.62,"1"
"619",3686,559,1197.15,1515.07,129.88,54.29,13.11,76.1,0.42,52.39,3,1190,1541,76.76,16.15,4.14,0.24,0.81,"na",690.123456790123,36.24,"1"
"620",3703,304,389.61,1670.38,78.91,32.79,11.8,60.38,0.61,32.65,3,383,1685,62.65,13.33,2.78,0.36,0.86,"na",353.488372093023,19.32,"1"
"621",3738,323,1510.83,418.75,102.57,31.37,13.11,47.36,0.39,35.47,4,1494,430,40.43,15.56,2.39,0.42,0.77,"na",419.480519480519,19.91,"1"
"622",3799,486,792.06,1823.4,137.72,63.06,9.81,46.9,0.32,59.41,4,771,1844,43.64,13.33,6.43,0.16,0.73,"na",665.753424657534,46.08,"1"
"623",3827,574,641.87,540.32,116.95,32.94,22.19,124.85,0.53,38.95,5,633,524,119.2,24.75,1.48,0.67,0.85,"na",675.294117647059,14.2,"1"
"624",3854,341,1322.16,1743.8,101.88,38.74,11.21,45.44,0.41,39.05,5,1311,1761,50.19,16.16,3.46,0.29,0.67,"na",508.955223880597,22.89,"1"
"625",3872,287,1889.39,293.72,84.08,33.62,10.87,145.27,0.51,33.6,6,1876,284,143.47,13.03,3.09,0.32,0.81,"na",354.320987654321,20.57,"1"
