ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Solidity,Convex,FeretRatio,Germinated,Debris
2161,180,59.94,22.08,10.38,0.63,24.04,12.0,2.13,0.84,214,0.499,0,0
2162,140,54.28,15.01,11.88,0.6,18.6,13.42,1.26,0.79,177,0.722,0,0
2163,135,45.7,17.85,9.63,0.81,18.87,10.6,1.85,0.91,148,0.562,0,0
2164,180,59.01,23.62,9.7,0.65,25.0,11.31,2.43,0.85,211,0.452,0,0
2165,160,47.94,16.84,12.1,0.87,17.72,12.97,1.39,0.9,177,0.732,0,0
2166,305,75.94,30.31,12.81,0.66,29.43,14.0,2.37,0.89,342,0.476,-1,1
2167,143,44.28,15.49,11.75,0.92,16.64,12.73,1.32,0.91,157,0.765,0,0
2168,143,44.53,16.58,10.98,0.91,17.2,11.31,1.51,0.91,157,0.658,0,0
2169,181,52.53,18.25,12.63,0.82,20.4,13.0,1.44,0.91,198,0.637,0,0
2170,194,60.77,22.34,11.06,0.66,24.7,12.93,2.02,0.83,233,0.523,0,0
2171,176,50.04,18.84,11.89,0.88,19.72,12.0,1.58,0.95,185,0.609,0,0
2172,209,63.7,24.62,10.81,0.65,25.5,12.18,2.28,0.87,240,0.478,0,0
2173,173,59.84,20.49,10.75,0.61,22.85,12.38,1.91,0.79,218,0.542,0,0
2174,330,80.67,31.86,13.19,0.64,33.42,16.08,2.42,0.86,383,0.481,-1,1
2175,185,53.11,18.6,12.67,0.82,19.7,13.0,1.47,0.91,203,0.66,0,0
2176,168,53.46,20.4,10.49,0.74,21.19,12.0,1.95,0.88,190,0.566,0,0
2177,163,51.6,17.97,11.55,0.77,20.1,13.0,1.56,0.88,185,0.647,0,0
2178,190,53.46,19.73,12.26,0.84,20.81,13.0,1.61,0.93,204,0.625,0,0
2179,165,52.77,19.76,10.63,0.74,21.26,12.02,1.86,0.87,189,0.565,0,0
2180,182,50.87,18.0,12.87,0.88,18.79,13.28,1.4,0.93,195,0.707,0,0
2181,229,63.36,22.88,12.75,0.72,24.7,14.9,1.79,0.87,263,0.603,0,0
2182,473,80.67,24.7,24.38,0.91,26.42,25.0,1.01,0.94,503,0.946,-1,1
2183,160,54.77,19.77,10.3,0.67,21.26,11.87,1.92,0.84,190,0.558,0,0
2184,257,78.91,28.4,11.52,0.52,29.15,14.12,2.46,0.76,338,0.484,0,0
2185,152,49.21,18.45,10.49,0.79,18.44,10.85,1.76,0.9,168,0.588,0,0
2186,371,80.08,27.18,17.38,0.73,30.0,19.37,1.56,0.89,416,0.646,-1,1
2187,267,74.67,29.19,11.65,0.6,29.97,14.76,2.51,0.82,325,0.492,-1,1
2188,189,54.28,19.82,12.14,0.81,22.02,13.31,1.63,0.92,205,0.604,0,0
2189,230,69.5,26.85,10.9,0.6,28.32,13.04,2.46,0.83,277,0.46,0,0
2190,185,53.7,19.82,11.88,0.81,21.93,13.27,1.67,0.91,203,0.605,0,0
2191,203,66.77,23.18,11.15,0.57,25.61,13.77,2.08,0.78,260,0.538,0,0
2192,204,61.01,20.08,12.94,0.69,21.38,13.94,1.55,0.84,242,0.652,0,0
2193,156,47.46,16.57,11.99,0.87,17.8,12.86,1.38,0.92,169,0.722,0,0
2194,158,49.94,19.63,10.25,0.8,20.81,11.31,1.92,0.9,175,0.543,0,0
2195,176,58.87,23.7,9.45,0.64,24.52,10.67,2.51,0.87,202,0.435,0,0
2196,158,47.7,15.75,12.78,0.87,17.03,13.42,1.23,0.92,171,0.788,0,0
2197,217,67.36,27.01,10.23,0.6,27.31,12.04,2.64,0.82,264,0.441,0,0
2198,150,51.11,18.84,10.14,0.72,20.62,11.57,1.86,0.87,172,0.561,0,0
2199,190,52.28,18.89,12.8,0.87,20.12,13.59,1.48,0.94,202,0.675,0,0
2200,247,67.36,24.56,12.81,0.68,26.08,15.6,1.92,0.88,280,0.598,0,0
2201,212,67.01,26.65,10.13,0.59,28.3,12.65,2.63,0.83,255,0.447,0,0
2202,215,60.77,21.24,12.89,0.73,21.84,13.98,1.65,0.87,247,0.64,0,0
2203,210,58.53,21.94,12.19,0.77,23.71,13.91,1.8,0.9,233,0.587,0,0
2204,156,47.94,19.22,10.33,0.85,19.42,10.61,1.86,0.93,167,0.546,0,0
2205,128,45.11,17.64,9.24,0.79,18.44,9.9,1.91,0.89,143,0.537,0,0
2206,162,57.6,22.89,9.01,0.61,23.26,10.73,2.54,0.84,192,0.461,0,0
2207,230,65.6,25.57,11.45,0.67,27.78,13.38,2.23,0.88,261,0.482,0,0
2208,207,63.94,22.72,11.6,0.64,25.24,14.27,1.96,0.81,255,0.565,0,0
2209,142,49.7,18.58,9.73,0.72,20.0,11.29,1.91,0.84,169,0.565,0,0
2210,191,61.01,22.62,10.75,0.64,23.85,13.08,2.1,0.8,238,0.548,0,0
2211,190,62.18,23.52,10.29,0.62,25.71,11.74,2.29,0.85,223,0.457,0,0
2212,177,54.53,19.24,11.71,0.75,20.62,12.65,1.64,0.89,198,0.613,0,0
2213,383,93.98,40.25,12.11,0.54,41.34,14.15,3.32,0.87,440,0.342,-1,1
2214,278,85.84,32.46,10.9,0.47,34.53,14.62,2.98,0.76,365,0.423,1,0
2215,242,67.36,26.42,11.66,0.67,28.23,13.92,2.27,0.89,271,0.493,0,0
2216,279,78.33,28.63,12.41,0.57,29.83,15.63,2.31,0.77,362,0.524,1,0
2217,213,71.01,26.84,10.1,0.53,28.64,12.19,2.66,0.82,259,0.426,0,0
2218,218,57.36,20.99,13.22,0.83,22.47,14.76,1.59,0.9,242,0.657,0,0
2219,147,46.53,18.24,10.26,0.85,18.6,11.2,1.78,0.91,161,0.602,0,0
2220,191,67.7,24.81,9.8,0.52,27.46,12.75,2.53,0.81,235,0.464,0,0
2221,269,79.15,29.06,11.79,0.54,30.08,14.18,2.47,0.79,340,0.471,0,0
2222,204,58.77,21.64,12.0,0.74,23.02,13.93,1.8,0.87,234,0.605,0,0
2223,427,118.33,40.37,13.47,0.38,45.49,17.35,3.0,0.74,577,0.381,-1,1
2224,253,66.18,23.84,13.51,0.73,25.71,15.0,1.76,0.9,281,0.583,0,0
2225,188,63.84,24.37,9.82,0.58,25.55,11.82,2.48,0.84,223,0.463,0,0
2226,149,47.46,16.45,11.54,0.83,18.03,13.0,1.43,0.91,163,0.721,0,0
2227,240,73.84,27.45,11.13,0.55,28.64,13.34,2.47,0.79,303,0.466,0,0
2228,201,62.53,20.23,12.65,0.65,21.95,14.67,1.6,0.84,239,0.668,0,0
2229,214,67.25,24.02,11.34,0.59,25.61,14.08,2.12,0.81,264,0.55,0,0
2230,410,105.15,40.1,13.02,0.47,43.32,16.92,3.08,0.77,532,0.391,-1,1
2231,215,73.36,28.04,9.76,0.5,28.79,11.51,2.87,0.79,272,0.4,0,0
2232,554,150.65,58.11,12.14,0.31,64.01,14.7,4.79,0.76,728,0.23,-1,1
2233,250,75.5,26.75,11.9,0.55,29.21,13.66,2.25,0.82,304,0.468,0,0
2234,186,63.84,21.01,11.27,0.57,22.56,13.64,1.86,0.78,238,0.605,0,0
2235,268,60.43,19.41,17.58,0.92,20.62,17.68,1.1,0.93,288,0.857,0,0
2236,227,72.91,27.41,10.54,0.54,27.02,11.83,2.6,0.82,276,0.438,0,0
2237,155,53.11,19.41,10.17,0.69,21.4,11.88,1.91,0.86,180,0.555,0,0
2238,204,66.67,22.38,11.61,0.58,24.17,13.83,1.93,0.79,258,0.572,0,0
2239,245,65.6,23.89,13.06,0.72,25.61,15.34,1.83,0.86,284,0.599,0,0
2240,311,88.77,27.96,14.16,0.5,31.95,17.0,1.97,0.77,403,0.532,-1,1
2241,193,67.01,26.21,9.37,0.54,28.3,11.45,2.8,0.79,244,0.405,0,0
2242,160,59.7,22.58,9.02,0.56,24.35,10.44,2.5,0.8,200,0.429,0,0
2243,223,63.01,23.27,12.2,0.71,25.24,13.82,1.91,0.89,250,0.548,0,0
2244,203,60.18,23.43,11.03,0.7,25.3,12.85,2.12,0.86,236,0.508,0,0
2245,219,77.01,30.24,9.22,0.46,31.32,11.91,3.28,0.8,273,0.38,1,0
2246,262,78.18,30.42,10.97,0.54,31.95,14.33,2.77,0.81,323,0.449,1,0
2247,248,72.18,25.51,12.38,0.6,27.78,15.84,2.06,0.81,306,0.57,0,0
2248,222,67.84,23.62,11.97,0.61,25.24,14.51,1.97,0.79,281,0.575,0,0
2249,199,65.36,24.56,10.31,0.59,26.63,11.7,2.38,0.82,242,0.439,0,0
2250,228,67.94,26.45,10.97,0.62,27.2,13.0,2.41,0.86,265,0.478,0,0
2251,184,57.94,22.56,10.38,0.69,23.77,11.7,2.17,0.9,204,0.492,0,0
2252,169,48.28,17.37,12.38,0.91,18.6,13.04,1.4,0.93,181,0.701,0,0
2253,257,71.84,27.64,11.84,0.63,29.07,13.0,2.33,0.87,295,0.447,0,0
2254,471,127.2,37.45,16.02,0.37,41.23,25.01,2.34,0.66,713,0.607,-1,1
2255,241,78.08,28.35,10.82,0.5,29.83,13.36,2.62,0.78,308,0.448,1,0
2256,248,71.25,25.4,12.43,0.61,27.46,15.0,2.04,0.82,302,0.546,0,0
2257,214,61.94,22.51,12.11,0.7,24.7,13.91,1.86,0.87,245,0.563,0,0
