ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,spore
7760,213,59.21,21.96,12.35,0.76,22.14,12.0,1.78,0.56,0.94,1
8143,138,45.8,16.45,10.68,0.83,18.6,11.77,1.54,0.65,0.92,1
6277,124,42.63,15.2,10.39,0.86,16.12,10.0,1.46,0.68,0.91,1
1717,117,39.456,14.653,10.167,0.944,15.297,10.0,1.441,0.694,0.929,1
2460,211,54.527,20.656,13.006,0.892,21.19,13.914,1.588,0.63,0.93,1
7235,219,60.77,22.59,12.34,0.75,23.85,13.86,1.83,0.55,0.87,1
9013,141,44.87,16.17,11.1,0.88,17.03,11.83,1.46,0.69,0.91,1
4096,229,57.7,21.46,13.59,0.86,23.02,14.6,1.58,0.63,0.94,1
5898,171,61.11,21.92,9.93,0.58,23.43,12.73,2.21,0.45,0.8,1
3569,131,44.53,15.47,10.78,0.83,16.49,11.33,1.44,0.7,0.87,1
4920,135,44.28,14.45,11.89,0.87,16.12,13.1,1.22,0.82,0.89,1
112,122,42.627,14.098,11.019,0.844,15.264,11.0,1.279,0.782,0.907,1
4719,183,52.04,18.34,12.7,0.85,18.97,13.0,1.44,0.69,0.92,1
6185,218,58.77,21.1,13.16,0.79,21.63,14.0,1.6,0.62,0.88,1
7173,130,44.28,13.99,11.83,0.83,15.0,12.97,1.18,0.85,0.88,1
9391,179,51.7,19.93,11.44,0.84,20.62,12.02,1.74,0.57,0.92,1
2538,186,53.941,20.28,11.677,0.803,20.616,12.671,1.737,0.576,0.89,1
1349,121,42.527,15.742,9.787,0.841,16.401,10.607,1.608,0.622,0.88,1
4534,128,41.8,13.57,12.01,0.92,15.0,12.0,1.13,0.88,0.93,1
1232,130,42.87,16.013,10.337,0.889,16.643,11.18,1.549,0.646,0.912,1
2160,323,87.74,31.673,12.984,0.527,34.132,17.067,2.439,0.41,0.763,1
1488,115,39.799,15.258,9.596,0.912,15.524,9.0,1.59,0.629,0.95,1
6611,339,92.67,37.37,11.55,0.5,38.01,13.4,3.24,0.31,0.84,1
8161,215,59.21,22.66,12.08,0.77,23.26,12.69,1.88,0.53,0.91,1
3367,123,41.456,12.717,12.315,0.899,14.422,12.748,1.033,0.968,0.898,1
2774,250,75.598,29.734,10.705,0.55,30.083,13.282,2.777,0.36,0.816,1
1578,119,41.698,15.296,9.906,0.86,15.811,10.733,1.544,0.648,0.888,1
3547,179,51.94,18.69,12.19,0.83,19.7,13.42,1.53,0.65,0.88,1
9966,114,40.63,13.3,10.91,0.87,14.87,11.18,1.22,0.82,0.89,1
9885,192,57.11,20.35,12.01,0.74,22.02,14.14,1.69,0.59,0.88,1
