ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,spore
978,129,45.456,16.83,9.759,0.785,17.263,10.429,1.725,0.58,0.89,1
979,138,50.284,16.684,10.532,0.686,17.72,11.0,1.584,0.631,0.887,1
980,282,78.912,22.063,16.274,0.569,25.456,18.693,1.356,0.738,0.833,0
981,248,69.113,20.725,15.236,0.652,24.083,17.384,1.36,0.735,0.872,0
982,146,51.355,18.54,10.027,0.696,19.235,11.0,1.849,0.541,0.861,1
983,174,56.77,18.288,12.114,0.678,18.974,14.043,1.51,0.662,0.835,1
984,163,51.113,16.982,12.221,0.784,18.601,13.0,1.39,0.72,0.891,1
985,138,44.627,16.431,10.693,0.871,17.0,11.0,1.537,0.651,0.92,1
986,343,82.669,26.899,16.236,0.631,30.887,18.506,1.657,0.604,0.875,0
987,114,47.698,14.122,10.278,0.63,15.811,11.371,1.374,0.728,0.823,0
988,137,46.042,16.933,10.301,0.812,17.464,10.85,1.644,0.608,0.907,0
989,161,68.669,17.188,11.927,0.429,20.616,14.311,1.441,0.694,0.747,0
990,209,61.012,18.744,14.197,0.706,20.591,16.158,1.32,0.757,0.857,0
991,119,55.598,17.473,8.671,0.484,19.925,11.327,2.015,0.496,0.739,0
992,145,55.355,18.439,10.012,0.595,21.471,11.699,1.842,0.543,0.826,0
993,86,36.284,12.742,8.593,0.821,13.038,9.61,1.483,0.674,0.869,1
994,108,40.284,15.468,8.89,0.836,16.155,10.118,1.74,0.575,0.878,1
995,60,50.527,11.006,6.941,0.295,14.56,9.7,1.586,0.631,0.588,0
996,106,39.456,15.274,8.836,0.856,15.811,9.391,1.729,0.579,0.914,1
997,119,48.87,13.768,11.005,0.626,16.155,12.823,1.251,0.799,0.788,0
998,117,48.042,14.524,10.257,0.637,15.811,11.0,1.416,0.706,0.873,1
999,143,47.113,16.125,11.291,0.81,17.72,12.659,1.428,0.7,0.88,1
1000,64,32.385,10.467,7.786,0.767,11.402,9.0,1.344,0.744,0.837,0
1001,97,37.213,14.492,8.522,0.88,14.866,9.0,1.701,0.588,0.924,1
1002,99,42.527,13.582,9.28,0.688,15.811,10.307,1.464,0.683,0.85,1
1003,102,38.627,14.213,9.138,0.859,15.264,9.839,1.555,0.643,0.899,1
1004,103,42.87,15.25,8.6,0.704,16.155,9.206,1.773,0.564,0.855,1
1005,238,72.083,21.516,14.084,0.576,23.324,16.794,1.528,0.655,0.808,0
1006,103,39.456,14.474,9.061,0.831,15.264,9.839,1.597,0.626,0.888,1
1007,105,40.284,15.382,8.692,0.813,15.811,9.899,1.77,0.565,0.879,1
1009,115,40.042,14.894,9.831,0.901,15.811,10.607,1.515,0.66,0.927,1
1010,108,42.87,15.229,9.029,0.738,15.297,10.0,1.687,0.593,0.864,1
1011,101,38.284,14.064,9.144,0.866,14.56,9.944,1.538,0.65,0.898,1
1012,116,42.385,14.652,10.08,0.811,15.264,10.0,1.454,0.688,0.921,1
1013,149,47.698,15.745,12.049,0.823,16.643,13.035,1.307,0.765,0.9,1
1014,107,41.799,15.288,8.911,0.77,15.811,9.0,1.716,0.583,0.895,1
1015,102,36.627,13.104,9.91,0.955,13.601,10.0,1.322,0.756,0.923,1
1016,145,47.355,17.023,10.845,0.813,17.804,11.713,1.57,0.637,0.876,0
1017,114,40.87,14.956,9.705,0.858,16.492,10.0,1.541,0.649,0.901,1
1018,111,44.527,15.379,9.19,0.704,17.029,9.839,1.673,0.598,0.867,1
1019,118,42.284,15.653,9.598,0.829,16.401,10.4,1.631,0.613,0.894,1
1020,85,34.042,12.659,8.549,0.922,13.038,9.192,1.481,0.675,0.914,1
1021,97,37.213,13.93,8.866,0.88,14.56,9.0,1.571,0.636,0.911,1
1022,108,43.698,15.27,9.005,0.711,16.279,10.2,1.696,0.59,0.854,1
