ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,germination
8063,171,50.28,17.59,12.37,0.85,18.44,12.94,1.42,0
1007,185,51.355,19.082,12.344,0.881,19.723,12.728,1.546,0
2060,151,45.698,16.67,11.533,0.909,17.263,12.0,1.445,0
4985,333,81.84,27.57,15.38,0.62,31.06,18.2,1.79,0
6712,199,58.77,20.72,12.23,0.72,22.63,14.53,1.69,0
8098,250,65.25,24.41,13.04,0.74,25.0,14.31,1.87,0
94,152,46.284,16.38,11.815,0.892,17.493,12.203,1.386,0
7109,161,48.28,17.38,11.8,0.87,19.21,12.73,1.47,0
6695,111,41.21,14.52,9.73,0.82,16.12,10.91,1.49,0
8971,111,45.7,13.67,10.34,0.67,16.64,10.0,1.32,0
8470,114,40.14,12.54,11.57,0.89,14.87,11.0,1.08,0
9691,121,41.8,13.7,11.25,0.87,15.0,11.0,1.22,0
9365,196,52.28,18.79,13.28,0.9,19.72,14.0,1.41,0
1376,112,42.042,14.317,9.96,0.796,14.866,10.0,1.437,0
5653,153,48.28,15.56,12.52,0.82,16.97,13.91,1.24,0
5611,159,48.77,16.64,12.16,0.84,17.2,13.43,1.37,0
5504,208,55.84,21.29,12.44,0.84,22.36,12.73,1.71,0
2481,204,54.527,19.792,13.123,0.862,20.591,13.864,1.508,0
303,325,87.983,35.342,11.708,0.528,37.643,14.675,3.019,0
6390,191,53.7,21.08,11.53,0.83,21.95,12.48,1.83,0
5684,146,45.7,14.55,12.78,0.88,15.81,13.44,1.14,0
1424,110,40.042,14.934,9.379,0.862,15.811,10.213,1.592,0
8083,188,53.94,20.74,11.54,0.81,21.19,12.07,1.8,0
8907,297,80.08,32.29,11.71,0.58,33.84,13.11,2.76,0
7256,214,58.53,20.62,13.21,0.79,22.02,14.71,1.56,0
1949,127,41.456,15.121,10.694,0.929,15.811,11.0,1.414,0
2600,198,62.184,22.205,11.354,0.643,23.77,12.355,1.956,0
2021,150,47.355,18.456,10.348,0.841,18.601,10.607,1.784,0
8519,121,40.63,12.47,12.35,0.92,14.21,12.0,1.01,0
9347,183,52.87,20.57,11.33,0.82,21.63,12.2,1.82,0
4098,145,44.87,15.2,12.15,0.91,16.16,12.97,1.25,0
7415,204,54.63,20.81,12.48,0.86,20.88,12.0,1.67,0
1995,125,42.527,16.071,9.903,0.869,16.401,10.607,1.623,0
2890,159,58.184,21.476,9.427,0.59,23.087,11.384,2.278,0
7803,212,57.6,22.16,12.18,0.8,23.6,12.73,1.82,0
955,147,45.698,15.87,11.794,0.885,17.205,12.728,1.346,0
8652,142,46.04,16.84,10.74,0.84,17.12,11.0,1.57,0
7668,108,40.04,12.08,11.39,0.85,13.93,12.0,1.06,0
6417,111,39.21,12.65,11.17,0.91,14.14,11.83,1.13,0
8030,218,63.11,22.39,12.4,0.69,24.7,13.0,1.81,0
1835,123,40.042,14.893,10.515,0.964,15.297,10.0,1.416,0
6816,177,60.77,23.94,9.42,0.6,26.08,10.88,2.54,0
7673,164,51.7,15.46,13.51,0.77,18.03,14.51,1.14,0
3375,179,56.87,20.206,11.279,0.695,21.84,12.0,1.791,0
6540,158,49.46,17.78,11.32,0.81,19.72,12.0,1.57,0
2607,208,68.77,20.839,12.708,0.553,23.259,14.0,1.64,0
9925,159,48.04,17.79,11.38,0.87,18.25,11.0,1.56,0
671,150,46.627,17.277,11.055,0.867,17.72,11.0,1.563,0
1029,158,52.527,17.1,11.764,0.72,18.868,13.0,1.454,0
5396,178,53.11,18.84,12.03,0.79,20.62,13.44,1.57,0
2048,114,38.627,14.221,10.207,0.96,14.866,10.0,1.393,0
1570,120,40.284,15.149,10.086,0.929,15.811,10.607,1.502,0
1498,118,40.042,14.719,10.208,0.925,15.297,10.0,1.442,0
1000,166,49.941,17.721,11.927,0.836,19.235,13.035,1.486,0
2746,205,55.941,20.699,12.61,0.823,21.633,13.377,1.641,0
4287,128,42.63,13.02,12.52,0.89,14.42,12.87,1.04,0
4701,144,43.7,15.0,12.23,0.95,15.81,12.73,1.23,0
7808,145,46.04,16.08,11.48,0.86,17.8,12.37,1.4,0
6711,218,64.77,22.46,12.36,0.65,22.85,14.86,1.82,0
1045,175,50.77,18.999,11.728,0.853,19.698,12.348,1.62,0
4723,229,61.36,20.1,14.5,0.76,22.2,16.41,1.39,0
7701,214,63.01,22.26,12.24,0.68,23.35,14.25,1.82,0
9400,201,55.94,21.28,12.03,0.81,22.02,12.93,1.77,0
2898,200,57.941,20.931,12.166,0.749,22.472,13.72,1.72,0
3680,197,62.18,21.39,11.73,0.64,22.8,15.53,1.82,0
5,174,50.77,19.699,11.246,0.848,20.125,12.021,1.752,0
9486,190,52.53,19.17,12.62,0.87,20.25,13.97,1.52,0
5752,217,57.36,19.45,14.21,0.83,21.54,14.99,1.37,0
2777,223,63.012,23.272,12.201,0.706,25.239,13.825,1.907,0
6185,218,58.77,21.1,13.16,0.79,21.63,14.0,1.6,0
1181,114,40.042,14.955,9.706,0.893,15.62,10.6,1.541,0
7265,206,56.28,20.67,12.69,0.82,21.19,13.02,1.63,0
8660,202,55.11,20.6,12.48,0.84,21.38,12.92,1.65,0
8917,221,61.11,22.08,12.75,0.74,22.56,13.0,1.73,0
7904,201,59.25,23.48,10.9,0.72,24.41,12.0,2.15,0
