ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,conidium
897,87,36.627,14.0,7.912,0.815,14.318,8.222,1.769,0.565,0.883,1
898,67,30.627,10.401,8.202,0.898,11.402,9.0,1.268,0.789,0.87,1
899,81,34.627,13.216,7.804,0.849,13.601,8.0,1.694,0.59,0.905,1
900,98,37.456,15.073,8.278,0.878,15.652,8.944,1.821,0.549,0.916,1
901,55,26.385,8.796,7.962,0.993,9.487,8.0,1.105,0.905,0.909,1
902,99,38.284,15.715,8.021,0.849,16.125,8.875,1.959,0.51,0.904,1
903,91,35.799,14.633,7.918,0.892,14.866,8.0,1.848,0.541,0.933,1
904,170,59.456,25.796,8.391,0.604,25.298,8.955,3.074,0.325,0.888,0
905,82,34.385,13.604,7.675,0.872,13.928,8.0,1.773,0.564,0.916,1
906,59,26.971,9.232,8.137,1.0,9.849,8.0,1.134,0.881,0.929,1
907,108,40.627,16.189,8.494,0.822,16.279,9.0,1.906,0.525,0.9,1
908,80,33.456,13.374,7.616,0.898,13.601,7.778,1.756,0.569,0.914,1
909,103,38.87,15.75,8.327,0.857,16.401,9.153,1.891,0.529,0.907,1
910,102,39.213,15.899,8.168,0.834,16.492,8.0,1.946,0.514,0.932,1
911,77,31.213,11.196,8.757,0.993,11.705,9.0,1.279,0.782,0.917,1
912,95,37.456,14.298,8.46,0.851,14.765,9.089,1.69,0.592,0.892,1
913,55,26.142,9.093,7.702,1.0,10.0,8.0,1.181,0.847,0.94,1
915,79,32.385,12.715,7.911,0.947,13.0,8.0,1.607,0.622,0.929,1
916,96,36.385,14.697,8.317,0.911,14.56,8.0,1.767,0.566,0.941,1
917,50,25.556,9.083,7.009,0.962,10.0,7.603,1.296,0.772,0.909,1
918,83,33.799,12.937,8.169,0.913,13.601,8.875,1.584,0.631,0.922,1
920,97,38.87,15.886,7.775,0.807,16.125,8.497,2.043,0.489,0.894,1
921,111,41.799,17.538,8.058,0.798,17.464,8.0,2.176,0.459,0.933,1
922,97,38.042,15.132,8.162,0.842,15.652,8.944,1.854,0.539,0.911,1
923,107,39.456,15.417,8.837,0.864,15.811,9.527,1.745,0.573,0.911,1
924,106,39.213,15.098,8.939,0.866,15.524,9.0,1.689,0.592,0.926,1
925,117,46.284,18.384,8.103,0.686,19.313,9.391,2.269,0.441,0.883,1
926,100,38.87,15.426,8.254,0.832,16.155,8.974,1.869,0.535,0.885,1
929,91,36.042,14.341,8.079,0.88,14.866,8.731,1.775,0.563,0.905,1
930,94,36.627,14.172,8.445,0.88,14.765,9.391,1.678,0.596,0.913,1
931,110,40.627,16.22,8.635,0.837,16.553,9.171,1.878,0.532,0.921,1
932,92,36.042,14.396,8.137,0.89,15.0,8.875,1.769,0.565,0.906,1
933,114,41.698,16.108,9.011,0.824,16.553,10.047,1.788,0.559,0.88,1
934,117,40.87,15.079,9.879,0.88,15.62,10.607,1.526,0.655,0.893,1
936,82,32.385,11.164,9.352,0.983,12.207,9.899,1.194,0.838,0.937,1
937,98,37.799,14.819,8.42,0.862,15.652,9.0,1.76,0.568,0.92,1
938,118,42.87,17.102,8.785,0.807,17.464,9.391,1.947,0.514,0.911,1
947,156,58.284,18.248,10.885,0.577,19.723,12.0,1.676,0.597,0.823,0
948,351,142.024,40.717,10.976,0.219,57.983,17.728,3.71,0.27,0.524,0
952,64,29.799,10.611,7.679,0.906,11.402,8.485,1.382,0.724,0.895,1
955,128,44.184,18.009,9.049,0.824,18.028,9.192,1.99,0.502,0.905,1
963,104,38.87,15.228,8.696,0.865,16.125,9.43,1.751,0.571,0.908,1
967,127,49.113,19.688,8.213,0.662,21.19,8.944,2.397,0.417,0.873,1
968,108,39.799,15.669,8.776,0.857,15.524,9.0,1.786,0.56,0.919,1
972,319,72.184,25.92,15.67,0.769,26.173,17.0,1.654,0.605,0.886,1
978,114,41.456,16.629,8.729,0.834,17.088,9.487,1.905,0.525,0.905,1
979,103,37.456,14.972,8.759,0.923,15.652,9.707,1.709,0.585,0.928,1
980,105,40.142,16.078,8.315,0.819,15.811,8.0,1.934,0.517,0.942,1
981,73,30.971,10.587,8.78,0.956,11.662,9.0,1.206,0.829,0.924,1
982,100,40.627,15.826,8.045,0.761,16.125,8.854,1.967,0.508,0.881,1
983,117,42.627,16.715,8.912,0.809,16.763,9.459,1.876,0.533,0.907,1
984,244,64.77,26.079,11.912,0.731,26.571,13.339,2.189,0.457,0.917,1
985,119,42.87,17.256,8.78,0.814,17.493,9.391,1.965,0.509,0.908,1
986,106,39.456,15.343,8.797,0.856,15.652,9.391,1.744,0.573,0.906,1
987,104,39.456,15.08,8.781,0.839,15.811,9.701,1.717,0.582,0.893,1
988,96,38.284,15.373,7.951,0.823,15.811,8.485,1.934,0.517,0.893,1
989,120,41.799,16.965,9.006,0.863,17.088,9.0,1.884,0.531,0.941,1
990,92,35.213,13.428,8.723,0.932,13.928,9.0,1.539,0.65,0.915,1
991,118,42.042,16.233,9.255,0.839,16.643,9.839,1.754,0.57,0.915,1
992,84,34.627,13.71,7.801,0.88,14.318,8.497,1.758,0.569,0.918,1
993,94,36.385,13.771,8.691,0.892,13.928,9.0,1.584,0.631,0.917,1
994,87,34.385,12.87,8.607,0.925,13.416,9.0,1.495,0.669,0.93,1
995,63,28.627,9.887,8.113,0.966,10.77,8.485,1.219,0.821,0.9,1
996,115,42.284,16.509,8.87,0.808,17.029,9.6,1.861,0.537,0.898,1
997,66,28.971,9.497,8.848,0.988,10.296,9.0,1.073,0.932,0.923,1
998,96,37.456,14.284,8.557,0.86,15.133,9.0,1.669,0.599,0.901,1
999,102,38.627,15.233,8.525,0.859,15.652,9.391,1.787,0.56,0.915,1
1000,298,98.669,40.018,9.481,0.385,39.205,13.908,4.221,0.237,0.705,0
1001,106,41.113,16.38,8.24,0.788,16.401,8.902,1.988,0.503,0.88,1
1002,72,30.385,11.176,8.202,0.98,11.705,8.0,1.363,0.734,0.935,1
1003,66,28.971,10.379,8.097,0.988,11.18,8.0,1.282,0.78,0.936,1
1004,77,31.213,11.419,8.586,0.993,12.083,9.0,1.33,0.752,0.917,1
1005,97,37.698,15.585,7.925,0.858,15.811,8.485,1.967,0.508,0.898,1
1006,104,39.456,15.928,8.313,0.839,16.401,9.153,1.916,0.522,0.908,1
1007,112,40.627,15.794,9.029,0.853,16.155,9.803,1.749,0.572,0.918,1
1008,107,38.627,15.368,8.865,0.901,15.811,9.0,1.734,0.577,0.93,1
1009,102,38.87,15.13,8.584,0.848,15.62,9.192,1.763,0.567,0.903,1
1010,107,40.385,16.638,8.188,0.824,16.492,8.0,2.032,0.492,0.934,1
1011,96,37.698,15.178,8.053,0.849,15.652,8.746,1.885,0.531,0.889,1
1013,208,66.669,26.368,10.044,0.588,27.313,11.686,2.625,0.381,0.837,0
1014,99,38.527,15.976,7.89,0.838,16.125,8.485,2.025,0.494,0.892,1
1015,99,37.456,14.876,8.473,0.887,15.264,9.179,1.756,0.57,0.908,1
1016,103,38.87,15.482,8.47,0.857,15.811,9.153,1.828,0.547,0.907,1
1017,105,39.213,15.762,8.482,0.858,16.155,9.0,1.858,0.538,0.929,1
1018,92,36.627,14.193,8.253,0.862,14.866,9.0,1.72,0.581,0.911,1
1019,112,40.042,15.791,9.031,0.878,16.643,10.286,1.749,0.572,0.922,1
1020,79,34.627,13.023,7.724,0.828,14.318,8.944,1.686,0.593,0.888,1
1021,88,34.87,13.46,8.324,0.909,13.928,8.944,1.617,0.618,0.898,1
1022,107,39.698,14.975,9.098,0.853,15.524,10.0,1.646,0.608,0.892,1
1023,120,43.799,18.345,8.329,0.786,18.248,8.0,2.203,0.454,0.938,1
1024,106,39.456,15.776,8.555,0.856,16.279,8.878,1.844,0.542,0.902,1
1025,93,36.627,14.323,8.267,0.871,14.866,8.731,1.733,0.577,0.912,1
1026,114,42.627,16.935,8.571,0.788,17.088,9.203,1.976,0.506,0.891,1
1027,87,34.87,13.733,8.066,0.899,14.422,8.485,1.702,0.587,0.902,1
1028,51,24.971,8.987,7.226,1.0,9.487,7.0,1.244,0.804,0.927,1
