,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,class
7444,171,82.083,26.581,8.191,0.319,29.833,10.845,3.245,0.308,0.647,1
6876,215,73.154,28.164,9.72,0.505,30.232,12.406,2.898,0.345,0.807,1
3153,151,51.355,18.741,10.259,0.719,20.125,10.733,1.827,0.547,0.878,0
1880,86,33.799,12.317,8.89,0.946,13.0,9.0,1.386,0.722,0.93,0
320,208,89.012,34.761,7.619,0.33,37.336,10.904,4.563,0.219,0.651,1
10383,77,31.799,11.225,8.734,0.957,11.705,9.0,1.285,0.778,0.922,0
10014,106,38.042,14.213,9.496,0.92,14.866,10.0,1.497,0.668,0.922,0
3920,273,100.953,35.736,9.727,0.337,39.446,14.89,3.674,0.272,0.654,1
2113,80,33.213,12.551,8.116,0.911,13.0,8.854,1.547,0.647,0.909,0
6017,239,92.569,33.061,9.204,0.35,37.363,14.171,3.592,0.278,0.618,1
9426,242,96.569,32.031,9.62,0.326,35.693,15.493,3.33,0.3,0.56,1
8115,187,59.355,23.471,10.144,0.667,23.77,11.936,2.314,0.432,0.854,-1
4381,200,73.154,30.182,8.437,0.47,31.241,11.006,3.577,0.28,0.746,1
1345,115,40.87,15.469,9.466,0.865,16.155,10.119,1.634,0.612,0.902,0
9354,318,117.054,24.274,16.68,0.292,33.615,28.018,1.455,0.687,0.541,1
9926,216,95.296,33.474,8.216,0.299,37.216,12.383,4.074,0.245,0.569,1
3810,231,109.782,34.523,8.52,0.241,45.222,13.416,4.052,0.247,0.501,1
5771,141,45.456,16.337,10.989,0.858,17.263,11.0,1.487,0.673,0.913,0
183,135,47.941,16.14,10.65,0.738,17.464,11.783,1.516,0.66,0.854,0
7215,213,97.497,37.897,7.156,0.282,42.579,10.657,5.296,0.189,0.616,1
9223,193,87.74,30.034,8.182,0.315,36.401,12.434,3.671,0.272,0.587,1
