,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,class
7056,186,77.497,30.313,7.813,0.389,32.696,11.28,3.88,0.258,0.673,1
9427,200,72.426,26.931,9.456,0.479,28.601,12.272,2.848,0.351,0.73,1
856,97,36.042,14.34,8.612,0.938,15.0,9.192,1.665,0.601,0.928,0
1000,106,41.113,16.38,8.24,0.788,16.401,8.902,1.988,0.503,0.88,0
5748,108,38.87,14.959,9.193,0.898,15.652,9.899,1.627,0.615,0.923,0
10161,125,60.184,17.787,8.948,0.434,20.0,12.522,1.988,0.503,0.653,1
5009,340,94.468,33.264,13.014,0.479,33.838,18.726,2.556,0.391,0.731,-1
5019,155,49.113,15.843,12.456,0.808,16.763,13.0,1.272,0.786,0.906,0
4957,147,60.184,23.339,8.019,0.51,25.495,10.262,2.91,0.344,0.784,1
6028,268,103.983,34.942,9.765,0.311,39.446,14.479,3.578,0.279,0.596,1
4844,112,41.698,16.199,8.803,0.809,16.643,10.047,1.84,0.543,0.882,0
1223,100,39.456,15.587,8.169,0.807,15.811,8.489,1.908,0.524,0.889,0
5802,157,65.012,24.064,8.307,0.467,25.942,11.319,2.897,0.345,0.696,1
3562,178,77.497,30.779,7.363,0.372,33.838,10.698,4.18,0.239,0.665,1
3057,52,33.213,8.973,7.379,0.592,11.402,9.0,1.216,0.822,0.732,-1
7529,104,37.213,13.091,10.115,0.944,13.928,10.0,1.294,0.773,0.937,0
3138,148,60.426,24.053,7.834,0.509,25.612,10.579,3.07,0.326,0.733,1
6662,400,163.823,29.92,17.022,0.187,45.541,28.926,1.758,0.569,0.477,-1
3078,254,98.811,26.943,12.003,0.327,31.401,17.903,2.245,0.446,0.527,-1
8572,198,65.113,25.771,9.783,0.587,27.203,11.386,2.634,0.38,0.839,0
7169,195,79.74,31.243,7.947,0.385,32.757,11.011,3.931,0.254,0.635,1
1540,132,42.284,15.916,10.559,0.928,16.401,11.314,1.507,0.663,0.923,0
6781,119,41.113,15.885,9.538,0.885,16.553,10.2,1.665,0.6,0.905,0
4929,195,82.669,31.772,7.814,0.359,34.176,11.068,4.066,0.246,0.678,1
3473,448,186.51,32.124,17.757,0.162,49.649,31.861,1.809,0.553,0.405,-1
3780,224,82.083,29.287,9.738,0.418,30.61,13.149,3.007,0.333,0.657,1
3803,228,125.539,35.855,8.096,0.182,50.249,14.074,4.429,0.226,0.387,1
7397,388,142.024,47.362,10.431,0.242,58.694,15.46,4.541,0.22,0.555,-1
522,204,93.882,37.606,6.907,0.291,41.231,10.381,5.445,0.184,0.625,1
4343,211,87.154,33.322,8.062,0.349,37.121,11.885,4.133,0.242,0.655,1
4516,117,40.042,15.067,9.887,0.917,15.811,10.607,1.524,0.656,0.932,0
8392,93,35.456,13.573,8.724,0.93,13.928,9.459,1.556,0.643,0.907,0
1541,128,43.113,16.658,9.784,0.865,17.088,10.607,1.703,0.587,0.918,0
7849,80,38.385,15.647,6.51,0.682,15.524,7.0,2.403,0.416,0.86,0
9310,101,37.456,14.696,8.751,0.905,15.652,9.803,1.679,0.595,0.918,0
5966,210,91.497,36.476,7.33,0.315,38.897,11.543,4.976,0.201,0.596,1
10396,100,39.799,14.869,8.563,0.793,15.811,8.782,1.737,0.576,0.885,0
10178,391,133.338,31.131,15.991,0.276,39.217,23.46,1.947,0.514,0.587,-1
5753,119,42.284,16.283,9.305,0.836,17.205,9.899,1.75,0.571,0.908,0
4914,188,81.012,32.9,7.276,0.36,34.785,10.72,4.522,0.221,0.669,1
4496,171,72.083,28.092,7.75,0.414,30.017,10.816,3.625,0.276,0.676,1
8671,132,41.456,15.413,10.905,0.965,16.155,11.0,1.413,0.708,0.946,0
3720,196,75.012,26.299,9.489,0.438,31.048,13.282,2.772,0.361,0.71,1
8162,151,81.255,27.274,7.049,0.287,32.202,11.971,3.869,0.258,0.502,1
4222,162,63.012,23.848,8.649,0.513,25.08,11.47,2.757,0.363,0.718,1
5034,131,44.042,14.158,11.781,0.849,15.297,12.0,1.202,0.832,0.9,0
3793,151,63.012,23.708,8.109,0.478,25.06,11.281,2.924,0.342,0.701,1
4395,127,41.698,15.496,10.435,0.918,16.155,11.314,1.485,0.673,0.917,0
2235,98,37.456,14.589,8.553,0.878,15.232,9.487,1.706,0.586,0.895,0
2840,217,91.64,36.142,7.645,0.325,40.224,12.054,4.728,0.212,0.656,1
9502,197,72.326,22.383,11.206,0.473,25.318,14.142,1.997,0.501,0.741,1
7612,59,28.042,9.839,7.635,0.943,10.77,8.485,1.289,0.776,0.874,0
7497,103,36.971,13.734,9.549,0.947,13.928,9.0,1.438,0.695,0.954,0
8292,57,27.213,9.162,7.921,0.967,9.849,8.485,1.157,0.865,0.891,0
1121,89,35.799,14.122,8.024,0.873,14.318,8.0,1.76,0.568,0.922,0
2910,113,40.87,15.883,9.058,0.85,16.763,9.839,1.753,0.57,0.919,0
108,221,94.426,39.058,7.204,0.311,39.812,10.43,5.422,0.184,0.612,1
5934,177,75.497,31.153,7.234,0.39,33.242,10.286,4.306,0.232,0.705,1
1154,192,59.841,25.514,9.582,0.674,25.239,11.223,2.663,0.376,0.855,-1
8237,89,35.213,13.224,8.569,0.902,13.892,9.391,1.543,0.648,0.913,0
119,186,62.184,25.349,9.342,0.604,25.495,11.236,2.713,0.369,0.814,1
3377,241,115.539,26.473,11.591,0.227,35.511,18.385,2.284,0.438,0.439,1
5582,179,75.841,26.389,8.637,0.391,30.083,12.124,3.055,0.327,0.643,1
215,181,74.569,28.318,8.138,0.409,30.463,11.399,3.48,0.287,0.658,1
6728,168,64.527,25.549,8.372,0.507,26.683,10.914,3.052,0.328,0.769,1
7889,81,33.213,12.077,8.54,0.923,12.649,9.0,1.414,0.707,0.905,0
1200,202,91.355,39.364,6.534,0.304,37.656,9.035,6.025,0.166,0.641,1
2250,122,66.527,24.985,6.217,0.346,28.284,8.614,4.019,0.249,0.632,1
7756,85,33.556,10.743,10.074,0.949,12.042,10.0,1.066,0.938,0.934,0
6200,185,87.841,34.222,6.883,0.301,37.855,10.537,4.972,0.201,0.611,1
7939,102,37.456,14.007,9.272,0.914,14.56,9.806,1.511,0.662,0.907,0
9054,106,38.042,14.293,9.443,0.92,14.866,10.0,1.514,0.661,0.926,0
2226,90,35.213,12.897,8.885,0.912,13.601,9.0,1.452,0.689,0.918,0
9855,73,30.385,11.154,8.333,0.994,11.705,8.0,1.338,0.747,0.942,0
6106,144,62.184,20.338,9.015,0.468,25.554,10.966,2.256,0.443,0.738,1
1336,123,42.284,16.117,9.717,0.864,17.205,10.607,1.659,0.603,0.911,0
7383,129,47.113,16.818,9.766,0.73,18.248,10.955,1.722,0.581,0.857,0
1338,109,37.799,13.333,10.409,0.959,13.892,10.0,1.281,0.781,0.936,0
9577,121,42.042,16.453,9.364,0.86,17.088,9.944,1.757,0.569,0.913,0
45,148,49.698,18.284,10.306,0.753,19.313,11.513,1.774,0.564,0.876,1
8097,100,38.627,14.568,8.74,0.842,14.866,9.701,1.667,0.6,0.897,0
8314,112,42.042,17.042,8.368,0.796,17.464,9.391,2.037,0.491,0.903,0
1515,108,39.113,14.733,9.333,0.887,15.264,9.899,1.579,0.633,0.893,0
3644,139,58.669,25.148,7.038,0.507,25.0,9.35,3.573,0.28,0.718,1
604,102,38.042,12.4,10.474,0.886,13.892,11.0,1.184,0.845,0.891,0
1333,177,62.426,22.791,9.888,0.571,24.698,12.224,2.305,0.434,0.748,1
8786,144,54.083,25.131,7.296,0.619,24.207,7.778,3.445,0.29,0.87,-1
1676,111,40.627,14.661,9.64,0.845,15.652,10.0,1.521,0.658,0.917,0
2679,242,121.74,36.454,8.452,0.205,51.662,14.352,4.313,0.232,0.453,1
7069,368,132.167,24.687,18.98,0.265,33.526,24.141,1.301,0.769,0.576,-1
457,91,35.799,14.052,8.246,0.892,14.56,8.0,1.704,0.587,0.933,0
6698,111,39.213,14.884,9.496,0.907,15.232,9.806,1.567,0.638,0.925,0
874,97,38.284,14.875,8.303,0.832,15.0,8.913,1.791,0.558,0.882,0
1385,117,40.284,15.635,9.528,0.906,16.401,9.899,1.641,0.609,0.918,0
5098,393,170.024,29.321,17.066,0.171,52.0,34.0,1.718,0.582,0.378,-1
8876,267,91.74,34.898,9.741,0.399,37.483,13.322,3.582,0.279,0.685,1
4065,122,40.284,15.225,10.203,0.945,15.811,10.607,1.492,0.67,0.928,0
8279,115,41.213,16.154,9.064,0.851,16.492,9.0,1.782,0.561,0.924,0
7206,217,89.397,30.384,9.094,0.341,32.249,13.244,3.341,0.299,0.59,1
5417,104,36.627,13.188,10.04,0.974,13.892,10.607,1.314,0.761,0.937,0
3569,209,103.397,38.188,6.968,0.246,45.222,11.135,5.48,0.182,0.581,1
7362,94,34.627,12.206,9.806,0.985,12.649,10.0,1.245,0.803,0.926,0
1068,102,39.698,15.716,8.263,0.813,16.553,9.153,1.902,0.526,0.895,0
6774,180,77.983,29.778,7.696,0.372,33.015,10.957,3.869,0.258,0.672,1
3259,171,71.497,28.023,7.769,0.42,29.967,10.733,3.607,0.277,0.731,1
5489,119,40.284,14.965,10.125,0.921,15.811,10.914,1.478,0.677,0.912,0
5962,325,123.439,28.166,14.692,0.268,39.812,23.38,1.917,0.522,0.544,-1
361,218,73.012,25.454,10.905,0.514,27.731,13.873,2.334,0.428,0.711,1
1028,123,42.627,16.613,9.427,0.851,16.763,9.806,1.762,0.567,0.911,0
8153,97,36.971,14.482,8.528,0.892,14.56,8.0,1.698,0.589,0.946,0
5828,186,72.912,30.065,7.877,0.44,29.833,10.607,3.817,0.262,0.695,1
9696,117,40.627,14.959,9.959,0.891,15.297,10.0,1.502,0.666,0.918,0
6864,350,112.368,41.137,10.833,0.348,42.202,14.769,3.797,0.263,0.708,-1
9366,194,82.912,31.383,7.871,0.355,32.249,9.0,3.987,0.251,0.803,1
9244,137,42.87,15.687,11.12,0.937,16.492,11.0,1.411,0.709,0.938,0
7122,105,36.87,14.209,9.409,0.971,14.765,9.899,1.51,0.662,0.929,0
283,111,39.113,14.581,9.693,0.912,15.0,9.899,1.504,0.665,0.902,0
4998,215,82.326,27.647,9.902,0.399,32.016,13.435,2.792,0.358,0.637,1
2872,213,83.497,26.774,10.129,0.384,28.425,14.142,2.643,0.378,0.683,1
6207,175,75.841,30.306,7.352,0.382,30.871,10.436,4.122,0.243,0.639,1
6254,467,165.439,33.43,17.786,0.214,50.448,31.982,1.88,0.532,0.443,-1
7495,123,41.456,14.306,10.947,0.899,14.765,11.18,1.307,0.765,0.918,0
319,310,130.811,46.635,8.464,0.228,50.0,17.19,5.51,0.181,0.479,1
3926,204,98.468,28.837,9.007,0.264,37.736,14.864,3.202,0.312,0.485,1
5701,101,36.042,12.608,10.199,0.977,13.601,10.0,1.236,0.809,0.935,0
6179,195,90.811,34.272,7.244,0.297,39.051,10.607,4.731,0.211,0.613,1
1874,121,40.87,15.093,10.207,0.91,15.524,10.983,1.479,0.676,0.906,0
6349,107,37.799,13.754,9.905,0.941,14.422,10.0,1.389,0.72,0.943,0
4997,166,65.355,25.127,8.412,0.488,26.926,10.672,2.987,0.335,0.781,1
5911,226,90.912,35.114,8.195,0.344,37.363,11.461,4.285,0.233,0.636,1
779,99,38.284,15.917,7.919,0.849,16.401,8.485,2.01,0.498,0.904,0
6228,166,76.426,29.882,7.073,0.357,32.016,10.132,4.225,0.237,0.641,1
3012,226,97.64,32.723,8.794,0.298,37.162,13.741,3.721,0.269,0.632,1
6968,173,63.698,25.798,8.538,0.536,26.683,11.0,3.021,0.331,0.795,1
2626,128,42.527,16.376,9.952,0.889,16.643,10.6,1.645,0.608,0.908,0
617,81,32.385,11.156,9.244,0.971,11.705,9.0,1.207,0.829,0.931,0
3919,218,93.154,28.909,9.601,0.316,33.377,13.667,3.011,0.332,0.592,1
2911,124,41.456,15.579,10.134,0.907,16.155,10.786,1.537,0.65,0.912,0
7569,126,42.042,15.521,10.336,0.896,16.553,11.0,1.502,0.666,0.923,0
7345,165,71.012,25.047,8.388,0.411,27.659,11.975,2.986,0.335,0.682,1
8019,107,42.284,16.939,8.043,0.752,17.088,8.913,2.106,0.475,0.877,0
1692,121,40.042,14.263,10.802,0.948,15.232,11.0,1.32,0.757,0.938,0
10483,86,34.971,12.576,8.707,0.884,13.601,9.285,1.444,0.692,0.925,0
7585,124,42.284,16.469,9.586,0.872,17.0,10.286,1.718,0.582,0.919,0
8498,121,41.456,16.101,9.568,0.885,16.492,10.0,1.683,0.594,0.917,0
1444,146,45.698,16.397,11.337,0.879,17.205,11.628,1.446,0.691,0.924,0
3701,193,82.811,27.006,9.099,0.354,31.78,13.726,2.968,0.337,0.586,1
9491,310,107.64,40.044,9.857,0.336,41.976,14.644,4.063,0.246,0.607,1
5372,163,69.255,27.76,7.476,0.427,30.529,10.6,3.713,0.269,0.709,1
7696,199,93.012,37.464,6.763,0.289,40.311,10.0,5.539,0.181,0.687,1
9089,97,36.284,12.895,9.577,0.926,13.416,9.899,1.346,0.743,0.902,0
3304,347,132.853,29.605,14.924,0.247,40.853,23.754,1.984,0.504,0.543,-1
9233,112,39.456,14.584,9.778,0.904,15.264,10.607,1.492,0.67,0.914,0
10391,66,29.799,10.769,7.803,0.934,11.662,8.485,1.38,0.725,0.904,0
6043,131,58.87,22.079,7.555,0.475,25.179,9.0,2.923,0.342,0.771,1
6108,157,80.569,32.122,6.223,0.304,35.805,9.976,5.162,0.194,0.605,1
2337,205,107.782,41.905,6.229,0.222,47.634,10.202,6.728,0.149,0.526,1
5595,199,75.012,29.505,8.588,0.444,31.575,11.549,3.436,0.291,0.748,1
6305,125,50.184,18.112,8.787,0.624,20.809,9.811,2.061,0.485,0.831,-1
6801,180,75.598,27.982,8.19,0.396,29.833,11.0,3.416,0.293,0.652,1
7270,346,134.368,28.077,15.69,0.241,43.29,25.876,1.789,0.559,0.451,-1
4701,181,69.598,27.641,8.337,0.47,29.155,11.364,3.315,0.302,0.733,1
2480,217,92.569,19.017,14.529,0.318,27.295,19.341,1.309,0.764,0.638,1
2675,244,108.953,45.021,6.901,0.258,48.01,10.262,6.524,0.153,0.639,1
2908,115,40.284,15.026,9.745,0.891,15.811,10.286,1.542,0.649,0.906,0
5807,188,75.397,30.915,7.743,0.416,33.422,10.607,3.993,0.25,0.755,1
9320,231,102.468,32.9,8.94,0.276,39.962,14.145,3.68,0.272,0.521,1
146,117,40.042,15.611,9.543,0.917,16.155,10.0,1.636,0.611,0.932,0
6446,227,110.326,39.633,7.293,0.234,43.966,12.63,5.435,0.184,0.514,1
2953,213,99.296,43.775,6.195,0.271,44.407,9.993,7.066,0.142,0.587,1
925,100,38.87,15.426,8.254,0.832,16.155,8.974,1.869,0.535,0.885,0
4473,187,73.497,27.254,8.736,0.435,29.12,12.338,3.12,0.321,0.695,1
4977,185,87.983,30.702,7.672,0.3,37.202,11.314,4.002,0.25,0.582,1
2582,216,93.983,34.429,7.988,0.307,35.341,13.345,4.31,0.232,0.547,1
425,163,78.426,29.784,6.968,0.333,34.205,9.871,4.274,0.234,0.652,1
7666,231,105.64,38.441,7.651,0.26,44.822,13.141,5.024,0.199,0.534,1
2495,188,75.841,30.669,7.805,0.411,31.241,10.807,3.93,0.254,0.668,1
468,110,42.042,16.977,8.25,0.782,17.263,9.0,2.058,0.486,0.902,0
9739,130,42.385,15.555,10.641,0.909,16.643,11.0,1.462,0.684,0.949,0
7127,183,78.184,30.652,7.602,0.376,32.249,10.99,4.032,0.248,0.665,1
3079,227,78.225,32.526,8.886,0.466,32.802,11.044,3.66,0.273,0.766,1
2381,243,116.711,36.618,8.449,0.224,46.53,13.867,4.334,0.231,0.459,1
6332,105,37.456,14.198,9.416,0.941,14.866,10.0,1.508,0.663,0.921,0
6896,191,82.326,32.544,7.473,0.354,34.928,9.829,4.355,0.23,0.657,1
6344,100,35.456,12.659,10.058,1.0,13.601,10.0,1.259,0.795,0.935,0
7914,79,32.627,11.998,8.383,0.933,12.53,9.171,1.431,0.699,0.903,0
8892,195,66.184,25.29,9.817,0.559,25.962,12.05,2.576,0.388,0.798,1
1994,104,37.456,13.963,9.483,0.932,14.422,9.899,1.472,0.679,0.92,0
5896,171,67.941,26.331,8.269,0.466,27.295,10.985,3.184,0.314,0.717,1
2091,134,63.841,24.261,7.032,0.413,28.425,9.849,3.45,0.29,0.703,1
4811,131,61.355,22.024,7.573,0.437,24.331,10.0,2.908,0.344,0.716,1
7396,170,81.012,30.549,7.085,0.326,33.734,10.194,4.311,0.232,0.672,1
9222,80,32.627,10.927,9.322,0.944,11.705,9.839,1.172,0.853,0.899,0
9220,131,43.456,16.459,10.134,0.872,17.088,11.0,1.624,0.616,0.926,0
1710,102,36.627,12.935,10.04,0.955,13.601,10.0,1.288,0.776,0.919,0
4810,194,74.426,27.614,8.945,0.44,31.064,12.806,3.087,0.324,0.69,1
8270,103,38.627,15.053,8.712,0.867,15.297,9.0,1.728,0.579,0.912,0
6525,178,68.669,27.866,8.133,0.474,29.206,10.476,3.426,0.292,0.743,1
9558,118,41.456,15.599,9.632,0.863,16.155,10.394,1.62,0.617,0.904,0
914,79,32.385,12.715,7.911,0.947,13.0,8.0,1.607,0.622,0.929,0
6172,241,101.64,34.696,8.844,0.293,39.294,13.141,3.923,0.255,0.564,1
7257,176,74.426,27.085,8.274,0.399,31.623,10.938,3.274,0.305,0.739,1
4803,119,45.941,17.186,8.816,0.709,19.235,10.554,1.949,0.513,0.847,0
10148,221,105.882,39.727,7.083,0.248,43.267,12.197,5.609,0.178,0.506,1
9587,122,42.284,16.644,9.333,0.857,17.205,9.899,1.783,0.561,0.917,0
8018,106,40.042,15.36,8.787,0.831,15.811,9.414,1.748,0.572,0.891,0
4770,70,30.385,10.655,8.365,0.953,11.662,9.0,1.274,0.785,0.915,0
9754,243,108.125,43.7,7.08,0.261,46.53,11.159,6.172,0.162,0.554,1
8416,202,106.61,44.525,5.776,0.223,48.549,10.419,7.708,0.13,0.544,1
2700,200,87.012,36.732,6.933,0.332,38.328,10.433,5.298,0.189,0.698,1
8552,100,36.527,13.161,9.674,0.942,13.928,9.899,1.36,0.735,0.901,0
1850,132,44.042,16.576,10.139,0.855,17.088,10.85,1.635,0.612,0.91,0
5675,173,71.841,27.611,7.978,0.421,30.017,11.55,3.461,0.289,0.673,1
2353,378,158.267,62.676,7.679,0.19,67.186,14.334,8.162,0.123,0.495,1
4439,132,45.698,17.41,9.654,0.794,18.788,11.18,1.803,0.555,0.88,0
5338,219,89.74,33.635,8.29,0.342,34.928,12.145,4.057,0.246,0.59,1
10379,81,33.799,12.718,8.109,0.891,13.416,9.0,1.568,0.638,0.91,0
3159,122,40.87,15.261,10.179,0.918,15.811,11.314,1.499,0.667,0.914,0
6655,172,70.083,27.759,7.889,0.44,29.53,10.587,3.518,0.284,0.699,1
10052,53,25.556,8.437,7.998,1.0,9.434,8.0,1.055,0.948,0.93,0
546,90,35.213,13.975,8.2,0.912,14.318,8.731,1.704,0.587,0.918,0
8315,82,32.627,11.943,8.742,0.968,12.53,9.192,1.366,0.732,0.921,0
6066,196,89.154,33.593,7.429,0.31,34.986,11.25,4.522,0.221,0.563,1
7213,238,86.083,34.514,8.78,0.404,36.401,12.659,3.931,0.254,0.732,1
7267,171,77.841,29.062,7.492,0.355,33.106,11.371,3.879,0.258,0.638,1
8043,118,41.799,16.548,9.079,0.849,17.088,9.0,1.823,0.549,0.94,0
1519,100,37.456,14.535,8.76,0.896,15.0,9.43,1.659,0.603,0.909,0
353,75,31.213,10.877,8.779,0.967,11.705,9.0,1.239,0.807,0.915,0
6776,67,30.042,11.026,7.737,0.933,11.662,8.485,1.425,0.702,0.893,0
4942,303,98.811,25.754,14.98,0.39,31.953,20.107,1.719,0.582,0.62,-1
5995,210,90.912,29.358,9.107,0.319,35.114,13.048,3.224,0.31,0.571,1
5247,150,58.184,21.762,8.776,0.557,24.187,11.033,2.48,0.403,0.777,1
4205,191,81.397,32.104,7.575,0.362,34.713,11.653,4.238,0.236,0.639,1
3747,254,91.64,30.519,10.597,0.38,33.541,13.718,2.88,0.347,0.648,1
9341,77,31.213,10.756,9.115,0.993,11.705,9.0,1.18,0.847,0.928,0
5373,171,73.012,26.32,8.272,0.403,30.083,11.841,3.182,0.314,0.698,1
8410,61,27.556,9.526,8.154,1.0,10.296,8.0,1.168,0.856,0.938,0
8203,209,97.054,32.018,8.311,0.279,39.217,12.5,3.853,0.26,0.635,-1
9235,203,110.912,39.464,6.549,0.207,48.052,11.092,6.026,0.166,0.511,1
10176,176,91.255,34.208,6.551,0.266,38.897,10.851,5.222,0.191,0.537,1
9803,243,95.154,27.758,11.146,0.337,33.015,15.619,2.49,0.402,0.579,1
3874,231,99.983,34.192,8.602,0.29,38.833,13.035,3.975,0.252,0.538,1
5665,214,91.497,36.223,7.522,0.321,38.079,11.375,4.816,0.208,0.64,1
663,99,40.284,14.474,8.709,0.767,15.264,10.464,1.662,0.602,0.835,0
4083,125,40.87,15.284,10.413,0.94,16.155,11.0,1.468,0.681,0.926,0
4563,188,71.012,27.483,8.71,0.468,27.514,10.686,3.155,0.317,0.734,1
2011,102,38.042,14.654,8.862,0.886,15.264,9.839,1.653,0.605,0.915,0
1045,115,42.042,16.737,8.749,0.818,17.0,9.341,1.913,0.523,0.906,0
5565,145,63.355,23.266,7.935,0.454,26.926,11.18,2.932,0.341,0.73,1
5476,179,78.669,27.186,8.383,0.363,31.257,11.0,3.243,0.308,0.607,1
3208,298,93.054,36.357,10.436,0.432,37.577,13.864,3.484,0.287,0.7,1
9287,179,77.397,30.202,7.546,0.376,32.65,11.042,4.002,0.25,0.659,1
3703,182,75.497,27.518,8.421,0.401,30.364,12.185,3.268,0.306,0.657,1
479,103,39.213,15.891,8.253,0.842,16.155,8.731,1.925,0.519,0.92,0
7980,95,36.971,14.637,8.264,0.873,14.56,8.0,1.771,0.565,0.936,0
7563,115,40.042,14.026,10.439,0.901,14.56,11.0,1.344,0.744,0.913,0
5280,109,37.698,13.466,10.306,0.964,13.928,10.607,1.307,0.765,0.912,0
4670,196,83.64,35.1,7.11,0.352,36.797,10.607,4.937,0.203,0.675,1
7306,209,98.326,32.508,8.186,0.272,41.183,12.616,3.971,0.252,0.518,1
2912,130,42.87,16.653,9.94,0.889,17.493,11.18,1.675,0.597,0.919,0
5182,212,87.154,33.684,8.013,0.351,37.696,11.56,4.203,0.238,0.666,1
527,202,82.669,35.103,7.327,0.371,36.249,10.322,4.791,0.209,0.713,1
6954,169,56.527,21.639,9.944,0.665,23.345,11.0,2.176,0.46,0.897,0
4831,147,58.527,22.531,8.307,0.539,24.352,10.956,2.712,0.369,0.792,1
3698,211,91.841,37.226,7.217,0.314,39.294,10.814,5.158,0.194,0.667,1
9428,132,42.627,15.516,10.832,0.913,16.155,11.0,1.433,0.698,0.933,0
9804,245,105.054,38.47,8.109,0.279,43.658,12.017,4.744,0.211,0.569,1
3977,411,161.338,31.467,16.63,0.198,49.649,27.888,1.892,0.528,0.474,1
5399,125,40.87,15.085,10.551,0.94,16.125,11.314,1.43,0.699,0.926,0
8414,99,37.698,14.993,8.407,0.875,15.264,8.485,1.783,0.561,0.917,0
3800,219,66.184,22.814,12.222,0.628,24.207,15.227,1.867,0.536,0.793,-1
1908,165,57.941,20.694,10.152,0.618,22.561,11.63,2.039,0.491,0.821,1
6494,140,45.456,18.218,9.784,0.851,18.974,10.0,1.862,0.537,0.924,0
5286,106,37.213,13.31,10.14,0.962,13.928,10.0,1.313,0.762,0.938,0
2073,83,32.627,12.284,8.603,0.98,13.0,9.0,1.428,0.7,0.922,0
7302,231,97.983,35.057,8.39,0.302,39.115,11.328,4.179,0.239,0.583,1
6930,210,105.397,30.181,8.859,0.238,38.833,13.717,3.407,0.294,0.499,1
2222,82,32.971,12.733,8.2,0.948,13.416,8.0,1.553,0.644,0.943,0
10479,153,73.255,28.335,6.875,0.358,29.732,10.238,4.121,0.243,0.608,1
1151,105,38.971,14.994,8.916,0.869,15.232,9.0,1.682,0.595,0.938,0
5308,106,36.627,13.645,9.891,0.993,14.318,10.0,1.379,0.725,0.942,0
667,116,40.042,13.146,11.235,0.909,14.318,12.0,1.17,0.855,0.91,0
1512,104,38.042,14.089,9.399,0.903,14.866,10.0,1.499,0.667,0.916,0
8353,197,65.255,29.109,8.617,0.581,28.178,9.497,3.378,0.296,0.858,-1
10077,104,38.627,14.318,9.248,0.876,15.0,9.839,1.548,0.646,0.912,0
3648,239,105.397,34.415,8.842,0.27,42.953,14.204,3.892,0.257,0.592,1
5463,212,93.64,38.182,7.069,0.304,40.361,10.607,5.401,0.185,0.61,1
9078,119,40.87,14.539,10.421,0.895,15.264,11.2,1.395,0.717,0.912,0
2001,126,41.456,15.624,10.268,0.921,16.553,11.0,1.522,0.657,0.93,0
7909,101,38.042,14.634,8.788,0.877,15.264,9.6,1.665,0.601,0.91,0
9557,87,35.456,13.725,8.071,0.87,14.213,8.485,1.701,0.588,0.902,0
5433,193,91.74,34.774,7.067,0.288,38.601,11.955,4.921,0.203,0.566,1
6914,224,91.74,37.628,7.58,0.334,38.949,11.143,4.964,0.201,0.647,1
5283,117,39.698,13.97,10.664,0.933,14.765,11.314,1.31,0.763,0.903,0
8692,231,64.527,26.807,10.972,0.697,25.962,12.139,2.443,0.409,0.88,-1
7135,187,69.255,26.123,9.114,0.49,26.833,12.127,2.866,0.349,0.699,1
618,53,25.799,8.797,7.671,1.0,9.487,8.0,1.147,0.872,0.906,0
10157,127,44.77,16.955,9.537,0.796,17.493,10.262,1.778,0.562,0.876,0
5998,106,38.627,14.244,9.475,0.893,15.0,10.2,1.503,0.665,0.91,0
9506,228,86.569,27.048,10.733,0.382,31.385,15.476,2.52,0.397,0.614,1
1737,120,40.042,14.501,10.537,0.941,15.264,11.18,1.376,0.727,0.923,0
3412,174,77.255,30.767,7.201,0.366,32.894,10.186,4.273,0.234,0.659,1
9386,186,81.154,28.231,8.389,0.355,30.265,12.0,3.365,0.297,0.624,1
2962,253,128.167,50.136,6.425,0.194,56.851,10.452,7.803,0.128,0.492,1
5525,277,85.497,34.818,10.129,0.476,35.128,12.0,3.437,0.291,0.801,1
9070,93,36.042,13.775,8.596,0.9,14.318,9.0,1.603,0.624,0.899,0
2036,81,32.627,11.639,8.861,0.956,12.207,9.192,1.313,0.761,0.92,0
9048,77,33.213,12.877,7.613,0.877,13.416,8.497,1.691,0.591,0.901,0
8412,249,108.811,23.487,13.499,0.264,27.295,16.816,1.74,0.575,0.69,-1
853,76,31.799,11.441,8.457,0.944,12.083,8.944,1.353,0.739,0.921,0
1805,184,58.426,25.71,9.112,0.677,25.0,10.049,2.821,0.354,0.876,-1
6082,63,29.213,10.235,7.837,0.928,10.77,8.974,1.306,0.766,0.875,0
6647,187,79.598,31.026,7.674,0.371,32.573,10.915,4.043,0.247,0.656,1
8746,116,38.87,13.877,10.643,0.965,14.56,11.0,1.304,0.767,0.924,0
9750,72,31.556,9.871,9.287,0.909,11.314,9.0,1.063,0.941,0.911,0
2909,116,40.284,15.678,9.421,0.898,16.125,9.899,1.664,0.601,0.921,0
6870,181,86.083,34.438,6.692,0.307,37.577,10.733,5.146,0.194,0.599,1
10305,87,34.627,12.735,8.698,0.912,13.416,9.391,1.464,0.683,0.906,0
673,92,35.213,11.155,10.501,0.932,12.53,11.0,1.062,0.941,0.915,0
6724,489,195.966,40.654,15.315,0.16,64.846,30.869,2.654,0.377,0.393,-1
2282,158,66.527,25.276,7.959,0.449,28.284,10.153,3.176,0.315,0.751,1
5617,104,36.87,13.019,10.171,0.961,13.928,10.914,1.28,0.781,0.908,0
920,111,41.799,17.538,8.058,0.798,17.464,8.0,2.176,0.459,0.933,0
8940,162,72.184,24.013,8.59,0.391,30.414,11.628,2.796,0.358,0.697,1
