ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,germination
143,104,37.456,14.278,9.274,0.932,14.866,10.0,1.54,0.65,0.92,0
144,117,40.627,15.273,9.754,0.891,15.811,10.0,1.566,0.639,0.914,0
145,119,40.627,14.97,10.121,0.906,15.652,10.59,1.479,0.676,0.919,0
147,117,40.042,15.611,9.543,0.917,16.155,10.0,1.636,0.611,0.932,0
148,119,40.627,15.339,9.878,0.906,15.811,10.0,1.553,0.644,0.926,0
149,120,40.87,15.226,10.035,0.903,15.811,10.607,1.517,0.659,0.92,0
150,125,43.113,16.287,9.772,0.845,17.088,10.286,1.667,0.6,0.903,0
151,115,40.87,15.824,9.253,0.865,16.553,10.262,1.71,0.585,0.913,0
152,97,35.213,13.366,9.24,0.983,13.928,9.0,1.447,0.691,0.942,0
153,103,38.284,13.496,9.717,0.883,14.56,10.672,1.389,0.72,0.892,0
154,96,36.87,14.117,8.658,0.887,14.765,9.192,1.63,0.613,0.906,0
155,125,41.698,15.532,10.247,0.903,16.155,10.733,1.516,0.66,0.909,0
156,105,37.799,14.072,9.501,0.924,15.0,10.2,1.481,0.675,0.933,0
157,110,38.87,14.776,9.479,0.915,15.524,10.0,1.559,0.641,0.921,0
159,113,40.627,15.584,9.232,0.86,16.155,9.944,1.688,0.592,0.911,0
160,138,46.527,16.525,10.633,0.801,17.464,11.571,1.554,0.643,0.879,0
161,131,53.355,18.642,8.947,0.578,20.809,10.695,2.084,0.48,0.806,1
162,213,88.912,35.681,7.601,0.339,37.483,10.607,4.694,0.213,0.666,1
163,142,53.355,21.528,8.398,0.627,22.804,10.2,2.563,0.39,0.84,1
165,199,88.225,28.141,9.004,0.321,34.015,13.258,3.125,0.32,0.546,1
166,152,59.355,21.004,9.214,0.542,24.739,11.628,2.28,0.439,0.77,1
167,221,93.841,30.908,9.104,0.315,37.121,14.569,3.395,0.295,0.556,1
169,199,84.326,31.198,8.121,0.352,33.956,11.884,3.841,0.26,0.615,1
170,207,89.397,29.245,9.012,0.325,32.016,13.264,3.245,0.308,0.602,1
171,230,91.74,34.401,8.513,0.343,36.401,11.907,4.041,0.247,0.637,1
172,138,49.941,18.917,9.288,0.695,20.248,10.733,2.037,0.491,0.857,1
173,188,82.426,32.849,7.287,0.348,33.956,10.447,4.508,0.222,0.653,1
174,211,101.64,34.416,7.806,0.257,41.195,12.362,4.409,0.227,0.499,1
175,186,82.569,19.428,12.19,0.343,22.847,15.026,1.594,0.627,0.662,1
176,148,72.669,25.766,7.313,0.352,30.232,10.899,3.523,0.284,0.615,1
177,155,60.426,18.843,10.473,0.533,22.472,12.839,1.799,0.556,0.751,1
178,185,80.184,31.438,7.493,0.362,33.956,10.381,4.196,0.238,0.709,1
179,149,48.527,18.625,10.186,0.795,19.723,11.18,1.829,0.547,0.914,0
180,140,63.841,24.785,7.192,0.432,26.627,10.262,3.446,0.29,0.685,1
181,58,26.971,8.854,8.341,1.0,9.487,8.0,1.062,0.942,0.921,0
182,136,44.284,17.05,10.156,0.871,18.028,11.18,1.679,0.596,0.919,0
183,143,54.527,20.589,8.843,0.604,21.954,10.262,2.328,0.43,0.827,1
184,135,47.941,16.14,10.65,0.738,17.464,11.783,1.516,0.66,0.854,0
185,154,52.527,19.176,10.225,0.701,20.616,11.449,1.875,0.533,0.858,1
187,135,52.77,18.703,9.19,0.609,22.023,10.607,2.035,0.491,0.821,1
188,194,69.012,26.652,9.268,0.512,26.926,11.749,2.876,0.348,0.72,1
189,59,28.627,9.666,7.771,0.905,10.77,8.485,1.244,0.804,0.868,0
190,216,90.811,35.285,7.794,0.329,36.892,11.448,4.527,0.221,0.627,1
191,182,65.012,25.546,9.071,0.541,27.459,11.333,2.816,0.355,0.783,1
192,114,40.627,16.11,9.01,0.868,16.492,9.0,1.788,0.559,0.934,0
193,103,39.213,15.364,8.536,0.842,15.811,9.0,1.8,0.556,0.907,0
194,193,89.983,33.717,7.288,0.3,38.626,10.97,4.626,0.216,0.616,1
195,171,65.598,23.628,9.215,0.499,25.942,12.13,2.564,0.39,0.732,1
196,164,64.77,19.945,10.469,0.491,22.472,13.823,1.905,0.525,0.711,1
197,182,72.77,29.163,7.946,0.432,30.265,10.837,3.67,0.272,0.727,1
198,230,91.64,33.315,8.79,0.344,36.715,11.779,3.79,0.264,0.646,1
199,153,49.941,19.961,9.759,0.771,20.809,10.607,2.045,0.489,0.9,0
200,203,90.527,39.164,6.6,0.311,40.311,9.0,5.934,0.169,0.696,1
201,181,63.941,24.489,9.411,0.556,25.179,11.0,2.602,0.384,0.803,1
202,176,74.326,28.024,7.996,0.4,31.401,11.001,3.505,0.285,0.704,1
203,249,97.154,30.425,10.42,0.332,36.056,14.852,2.92,0.342,0.62,1
204,207,94.083,35.828,7.356,0.294,40.162,11.329,4.87,0.205,0.585,1
205,199,92.426,33.897,7.475,0.293,39.459,12.433,4.535,0.221,0.6,1
206,190,92.569,30.808,7.852,0.279,35.355,11.685,3.923,0.255,0.541,1
207,253,119.439,45.452,7.087,0.223,50.329,12.68,6.413,0.156,0.505,1
